year,total_events,z_vs_1985_2007,partial_year
1980,3,-0.95,
1981,2,-1.38,
1982,3,-0.95,
1983,6,0.34,
1984,2,-1.38,
1985,7,0.76,
1986,3,-0.95,
1987,0,-2.23,
1988,1,-1.81,
1989,6,0.34,
1990,4,-0.52,
1991,4,-0.52,
1992,7,0.76,
1993,5,-0.09,
1994,6,0.34,
1995,7,0.76,
1996,5,-0.09,
1997,3,-0.95,
1998,11,2.48,
1999,5,-0.09,
2000,5,-0.09,
2001,3,-0.95,
2002,6,0.34,
2003,7,0.76,
2004,6,0.34,
2005,6,0.34,
2006,8,1.19,
2007,5,-0.09,
2008,12,2.91,
2009,9,1.62,
2010,7,0.76,
2011,18,5.48,
2012,11,2.48,
2013,10,2.05,
2014,10,2.05,
2015,11,2.48,
2016,15,4.19,
2017,19,5.9,
2018,16,4.62,
2019,14,3.76,
2020,22,7.19,
2021,20,6.33,
2022,18,5.48,
2023,28,9.76,
2024,27,9.33,
2025,23,7.62,
2026,12,2.91,Y
