year,realized_vol_annualized,z_vs_1985_2007,partial_year
1985,0.3568,0.09,
1986,0.3634,0.15,
1987,0.3787,0.29,
1988,0.2988,-0.42,
1989,0.2235,-1.09,
1990,0.2875,-0.52,
1991,0.2754,-0.63,
1992,0.3127,-0.3,
1993,0.2386,-0.95,
1994,0.2721,-0.66,
1995,0.3045,-0.37,
1996,0.3969,0.45,
1997,0.2721,-0.66,
1998,0.3216,-0.22,
1999,0.3267,-0.17,
2000,0.1986,-1.31,
2001,0.3044,-0.37,
2002,0.3133,-0.29,
2003,0.5047,1.41,
2004,0.6236,2.46,
2005,0.652,2.72,
2006,0.3964,0.45,
2007,0.3378,-0.07,
2008,1.5629,10.81,
2009,1.1431,7.08,
2010,0.7882,3.93,
2011,0.6975,3.12,
2012,1.2063,7.64,
2013,0.7929,3.97,
2014,1.0781,6.5,
2015,0.7141,3.27,
2016,0.8645,4.6,
2017,0.6476,2.68,
2018,0.5776,2.06,
2019,1.0325,6.1,
2020,1.6731,11.78,
2021,0.8548,4.52,
2022,1.1729,7.34,
2023,1.4672,9.96,
2024,0.8428,4.41,
2025,0.861,4.57,
2026,0.5884,2.15,Y
