date,rolling36m_sigma,z_vs_1985_2007
1988-02-01,0.10692,0.17
1988-03-01,0.10692,0.17
1988-04-01,0.11122,0.31
1988-05-01,0.10868,0.23
1988-06-01,0.10982,0.27
1988-07-01,0.10476,0.1
1988-08-01,0.10505,0.11
1988-09-01,0.10064,-0.03
1988-10-01,0.10128,-0.01
1988-11-01,0.1021,0.02
1988-12-01,0.10197,0.01
1989-01-01,0.10086,-0.03
1989-02-01,0.0986,-0.1
1989-03-01,0.09861,-0.1
1989-04-01,0.09619,-0.18
1989-05-01,0.09646,-0.17
1989-06-01,0.09621,-0.18
1989-07-01,0.09546,-0.2
1989-08-01,0.09162,-0.33
1989-09-01,0.08724,-0.47
1989-10-01,0.08978,-0.39
1989-11-01,0.08865,-0.43
1989-12-01,0.0883,-0.44
1990-01-01,0.08197,-0.64
1990-02-01,0.08208,-0.64
1990-03-01,0.0795,-0.73
1990-04-01,0.08226,-0.64
1990-05-01,0.08245,-0.63
1990-06-01,0.08109,-0.67
1990-07-01,0.08003,-0.71
1990-08-01,0.07737,-0.8
1990-09-01,0.07686,-0.81
1990-10-01,0.07684,-0.81
1990-11-01,0.07697,-0.81
1990-12-01,0.07692,-0.81
1991-01-01,0.07527,-0.86
1991-02-01,0.07673,-0.82
1991-03-01,0.07717,-0.8
1991-04-01,0.07115,-1.0
1991-05-01,0.07213,-0.97
1991-06-01,0.06962,-1.05
1991-07-01,0.07448,-0.89
1991-08-01,0.07432,-0.9
1991-09-01,0.07438,-0.89
1991-10-01,0.07451,-0.89
1991-11-01,0.07346,-0.92
1991-12-01,0.07406,-0.9
1992-01-01,0.07391,-0.91
1992-02-01,0.07801,-0.77
1992-03-01,0.07755,-0.79
1992-04-01,0.07782,-0.78
1992-05-01,0.07821,-0.77
1992-06-01,0.07951,-0.73
1992-07-01,0.07958,-0.72
1992-08-01,0.07948,-0.73
1992-09-01,0.07956,-0.72
1992-10-01,0.076,-0.84
1992-11-01,0.0819,-0.65
1992-12-01,0.08206,-0.64
1993-01-01,0.08258,-0.63
1993-02-01,0.08354,-0.59
1993-03-01,0.08466,-0.56
1993-04-01,0.08245,-0.63
1993-05-01,0.08225,-0.64
1993-06-01,0.07818,-0.77
1993-07-01,0.07936,-0.73
1993-08-01,0.07992,-0.71
1993-09-01,0.07971,-0.72
1993-10-01,0.07848,-0.76
1993-11-01,0.07875,-0.75
1993-12-01,0.0779,-0.78
1994-01-01,0.0778,-0.78
1994-02-01,0.07406,-0.9
1994-03-01,0.07507,-0.87
1994-04-01,0.08004,-0.71
1994-05-01,0.07902,-0.74
1994-06-01,0.08008,-0.71
1994-07-01,0.07737,-0.8
1994-08-01,0.07683,-0.81
1994-09-01,0.08048,-0.69
1994-10-01,0.08185,-0.65
1994-11-01,0.08163,-0.66
1994-12-01,0.08083,-0.68
1995-01-01,0.08035,-0.7
1995-02-01,0.0752,-0.87
1995-03-01,0.07551,-0.86
1995-04-01,0.07582,-0.85
1995-05-01,0.0788,-0.75
1995-06-01,0.07472,-0.88
1995-07-01,0.07432,-0.9
1995-08-01,0.07438,-0.89
1995-09-01,0.07618,-0.84
1995-10-01,0.085,-0.55
1995-11-01,0.08081,-0.68
1995-12-01,0.08076,-0.68
1996-01-01,0.08059,-0.69
1996-02-01,0.08147,-0.66
1996-03-01,0.08066,-0.69
1996-04-01,0.08045,-0.69
1996-05-01,0.08124,-0.67
1996-06-01,0.08189,-0.65
1996-07-01,0.08247,-0.63
1996-08-01,0.08174,-0.65
1996-09-01,0.08304,-0.61
1996-10-01,0.09455,-0.23
1996-11-01,0.09512,-0.21
1996-12-01,0.09544,-0.2
1997-01-01,0.09714,-0.15
1997-02-01,0.09661,-0.16
1997-03-01,0.09613,-0.18
1997-04-01,0.09754,-0.13
1997-05-01,0.09742,-0.14
1997-06-01,0.09657,-0.17
1997-07-01,0.09578,-0.19
1997-08-01,0.09603,-0.18
1997-09-01,0.09295,-0.28
1997-10-01,0.09057,-0.36
1997-11-01,0.09193,-0.32
1997-12-01,0.09234,-0.3
1998-01-01,0.09589,-0.19
1998-02-01,0.09599,-0.19
1998-03-01,0.09572,-0.19
1998-04-01,0.09524,-0.21
1998-05-01,0.09421,-0.24
1998-06-01,0.09493,-0.22
1998-07-01,0.09462,-0.23
1998-08-01,0.09406,-0.25
1998-09-01,0.09766,-0.13
1998-10-01,0.09176,-0.32
1998-11-01,0.09088,-0.35
1998-12-01,0.09462,-0.23
1999-01-01,0.09488,-0.22
1999-02-01,0.09794,-0.12
1999-03-01,0.09764,-0.13
1999-04-01,0.10333,0.06
1999-05-01,0.10382,0.07
1999-06-01,0.10219,0.02
1999-07-01,0.10072,-0.03
1999-08-01,0.10075,-0.03
1999-09-01,0.10385,0.07
1999-10-01,0.09447,-0.24
1999-11-01,0.09344,-0.27
1999-12-01,0.09284,-0.29
2000-01-01,0.09126,-0.34
2000-02-01,0.09422,-0.24
2000-03-01,0.09485,-0.22
2000-04-01,0.08942,-0.4
2000-05-01,0.08974,-0.39
2000-06-01,0.08971,-0.39
2000-07-01,0.0895,-0.4
2000-08-01,0.08934,-0.4
2000-09-01,0.08928,-0.41
2000-10-01,0.0892,-0.41
2000-11-01,0.0873,-0.47
2000-12-01,0.08752,-0.46
2001-01-01,0.08301,-0.61
2001-02-01,0.0829,-0.61
2001-03-01,0.08134,-0.67
2001-04-01,0.0812,-0.67
2001-05-01,0.08097,-0.68
2001-06-01,0.07876,-0.75
2001-07-01,0.09231,-0.31
2001-08-01,0.0948,-0.22
2001-09-01,0.09169,-0.33
2001-10-01,0.09319,-0.28
2001-11-01,0.09318,-0.28
2001-12-01,0.08843,-0.43
2002-01-01,0.08833,-0.44
2002-02-01,0.08715,-0.48
2002-03-01,0.08668,-0.49
2002-04-01,0.08112,-0.67
2002-05-01,0.07918,-0.74
2002-06-01,0.0794,-0.73
2002-07-01,0.07945,-0.73
2002-08-01,0.08007,-0.71
2002-09-01,0.08759,-0.46
2002-10-01,0.0867,-0.49
2002-11-01,0.08812,-0.44
2002-12-01,0.08966,-0.39
2003-01-01,0.09245,-0.3
2003-02-01,0.09215,-0.31
2003-03-01,0.0925,-0.3
2003-04-01,0.09375,-0.26
2003-05-01,0.09345,-0.27
2003-06-01,0.09338,-0.27
2003-07-01,0.09342,-0.27
2003-08-01,0.09355,-0.27
2003-09-01,0.10364,0.07
2003-10-01,0.12366,0.72
2003-11-01,0.12335,0.71
2003-12-01,0.12298,0.7
2004-01-01,0.1236,0.72
2004-02-01,0.12448,0.75
2004-03-01,0.12501,0.77
2004-04-01,0.1305,0.95
2004-05-01,0.13501,1.09
2004-06-01,0.13627,1.14
2004-07-01,0.13385,1.06
2004-08-01,0.13097,0.96
2004-09-01,0.13135,0.97
2004-10-01,0.13111,0.97
2004-11-01,0.13351,1.05
2004-12-01,0.14418,1.4
2005-01-01,0.14465,1.41
2005-02-01,0.14396,1.39
2005-03-01,0.14432,1.4
2005-04-01,0.14844,1.53
2005-05-01,0.15271,1.67
2005-06-01,0.15915,1.89
2005-07-01,0.16985,2.24
2005-08-01,0.1792,2.54
2005-09-01,0.17466,2.39
2005-10-01,0.17483,2.4
2005-11-01,0.17584,2.43
2005-12-01,0.17699,2.47
2006-01-01,0.17742,2.49
2006-02-01,0.18073,2.59
2006-03-01,0.18067,2.59
2006-04-01,0.18022,2.58
2006-05-01,0.18026,2.58
2006-06-01,0.18308,2.67
2006-07-01,0.18373,2.69
2006-08-01,0.18531,2.74
2006-09-01,0.17972,2.56
2006-10-01,0.16531,2.09
2006-11-01,0.1657,2.1
2006-12-01,0.1652,2.08
2007-01-01,0.16315,2.02
2007-02-01,0.16432,2.06
2007-03-01,0.16496,2.08
2007-04-01,0.16322,2.02
2007-05-01,0.15976,1.91
2007-06-01,0.1588,1.87
2007-07-01,0.15228,1.66
2007-08-01,0.15292,1.68
2007-09-01,0.156,1.78
2007-10-01,0.15451,1.73
2007-11-01,0.15153,1.64
2007-12-01,0.14491,1.42
2008-01-01,0.16171,1.97
2008-02-01,0.16574,2.1
2008-03-01,0.16582,2.1
2008-04-01,0.16352,2.03
2008-05-01,0.16226,1.99
2008-06-01,0.15929,1.89
2008-07-01,0.14928,1.56
2008-08-01,0.14432,1.4
2008-09-01,0.19299,3.0
2008-10-01,0.29379,6.3
2008-11-01,0.29439,6.32
2008-12-01,0.29448,6.32
2009-01-01,0.29963,6.49
2009-02-01,0.31489,6.99
2009-03-01,0.31647,7.05
2009-04-01,0.31694,7.06
2009-05-01,0.33654,7.7
2009-06-01,0.33521,7.66
2009-07-01,0.33539,7.67
2009-08-01,0.33855,7.77
2009-09-01,0.3387,7.78
2009-10-01,0.34368,7.94
2009-11-01,0.34564,8.0
2009-12-01,0.34821,8.09
2010-01-01,0.34825,8.09
2010-02-01,0.34754,8.06
2010-03-01,0.34722,8.05
2010-04-01,0.34678,8.04
2010-05-01,0.34855,8.1
2010-06-01,0.35882,8.43
2010-07-01,0.35925,8.45
2010-08-01,0.3635,8.59
2010-09-01,0.36142,8.52
2010-10-01,0.36112,8.51
