Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods
Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods
"Last Revised on: September 26, 2025"
Line,,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fixed assets and consumer durable goods,8.429,8.772,9.092,9.395,9.675,9.856,9.932,9.901,9.829,9.809,9.837,9.973,10.129,10.243,10.416,10.630,11.000,11.541,11.982,12.359,12.568,12.622,12.828,13.131,13.505,14.042,14.622,15.213,15.888,16.493,17.211,17.867,18.518,19.039,19.741,20.411,21.075,21.860,22.724,23.696,24.798,25.977,27.077,28.244,29.388,30.345,31.356,32.531,33.831,34.863,35.658,36.633,37.814,39.182,40.570,41.640,42.688,43.498,44.543,46.011,47.616,49.250,50.808,52.332,53.789,55.118,56.084,57.107,58.326,59.666,61.136,62.843,64.695,66.847,69.250,71.805,74.036,76.085,78.220,80.492,82.724,85.100,87.240,88.766,89.410,90.163,91.094,92.219,93.535,95.058,96.698,98.376,100.000,101.855,103.770,105.528,107.617,109.432,111.335,113.278
2,"  Fixed assets",9.998,10.403,10.781,11.139,11.467,11.685,11.782,11.755,11.680,11.663,11.699,11.860,12.042,12.180,12.384,12.632,13.079,13.736,14.277,14.733,14.986,15.028,15.126,15.367,15.683,16.147,16.766,17.425,18.142,18.816,19.559,20.299,21.020,21.663,22.454,23.229,24.030,24.925,25.887,26.950,28.116,29.355,30.525,31.724,32.922,33.955,34.998,36.188,37.487,38.572,39.389,40.347,41.518,42.912,44.380,45.585,46.763,47.660,48.698,50.130,51.680,53.210,54.691,56.130,57.525,58.841,59.860,60.892,62.101,63.399,64.852,66.540,68.348,70.393,72.603,74.906,76.882,78.628,80.472,82.452,84.413,86.578,88.500,89.956,90.602,91.314,92.172,93.176,94.361,95.718,97.160,98.611,100.000,101.606,103.303,104.754,106.312,107.783,109.414,111.068
3,"    Private",10.686,11.123,11.514,11.876,12.194,12.351,12.350,12.221,12.064,11.961,11.918,11.964,12.069,12.103,12.195,12.351,12.557,12.542,12.449,12.417,12.477,12.842,13.383,13.984,14.464,15.109,15.674,16.206,16.791,17.367,18.065,18.753,19.396,19.911,20.573,21.230,21.868,22.607,23.428,24.368,25.443,26.558,27.569,28.658,29.804,30.815,31.917,33.215,34.656,35.827,36.656,37.659,38.952,40.489,42.092,43.357,44.610,45.530,46.602,48.123,49.713,51.236,52.680,54.124,55.530,56.804,57.740,58.717,59.979,61.393,62.979,64.820,66.844,69.136,71.602,74.175,76.291,78.038,79.896,81.932,84.021,86.319,88.304,89.687,90.020,90.472,91.204,92.244,93.579,95.167,96.829,98.470,100.000,101.800,103.668,105.166,106.890,108.542,110.346,112.150
4,"      Nonresidential",9.500,9.814,10.083,10.353,10.683,10.876,10.833,10.624,10.402,10.261,10.200,10.264,10.413,10.411,10.449,10.583,10.798,10.741,10.610,10.593,10.771,11.194,11.713,12.237,12.616,13.058,13.512,13.934,14.431,14.862,15.391,15.987,16.565,16.941,17.389,17.905,18.397,18.986,19.616,20.390,21.425,22.635,23.715,24.815,25.994,27.022,27.949,29.008,30.331,31.538,32.352,33.233,34.332,35.761,37.399,38.861,40.427,41.664,42.728,44.341,46.070,47.485,48.760,50.092,51.483,52.812,53.761,54.648,55.810,57.134,58.786,60.716,62.947,65.470,68.203,71.152,73.336,74.707,76.027,77.463,79.087,81.139,83.421,85.418,85.965,86.760,88.024,89.707,91.577,93.842,96.012,97.996,100.000,102.412,104.846,106.365,108.066,110.062,112.542,114.980
5,"        Equipment",3.975,4.128,4.208,4.300,4.441,4.455,4.312,4.061,3.840,3.711,3.675,3.763,3.922,3.904,3.937,4.086,4.301,4.243,4.156,4.194,4.454,4.837,5.482,6.085,6.446,6.867,7.270,7.601,7.984,8.240,8.628,9.019,9.409,9.534,9.757,10.037,10.256,10.607,11.023,11.595,12.425,13.477,14.353,15.267,16.272,17.085,17.799,18.731,20.086,21.339,22.045,22.835,23.982,25.508,27.162,28.342,29.476,30.053,30.654,31.874,33.046,34.001,34.752,35.672,36.653,37.368,37.758,38.301,39.399,40.964,42.902,45.078,47.569,50.521,53.870,57.414,59.735,61.217,62.804,64.880,67.510,70.825,74.039,76.181,75.603,76.813,79.127,82.242,85.712,89.718,93.618,96.760,100.000,103.608,106.821,107.860,109.455,111.107,113.218,115.689
6,"        Structures",18.914,19.499,20.072,20.622,21.239,21.698,21.795,21.638,21.395,21.197,21.042,21.006,21.087,21.051,21.039,21.090,21.211,21.079,20.834,20.691,20.699,21.152,21.522,21.989,22.417,22.909,23.476,24.022,24.649,25.292,25.995,26.833,27.640,28.321,29.027,29.828,30.633,31.499,32.348,33.356,34.625,35.975,37.247,38.511,39.873,41.194,42.443,43.724,45.139,46.431,47.442,48.434,49.489,50.866,52.536,54.358,56.417,58.332,59.770,61.669,63.871,65.575,67.227,68.795,70.322,71.983,73.111,73.924,74.810,75.611,76.720,78.048,79.565,81.224,82.834,84.715,86.378,87.337,88.143,88.845,89.496,90.544,92.043,93.699,94.489,94.703,95.011,95.618,96.326,97.407,98.400,99.221,100.000,101.146,102.398,103.192,103.757,104.561,106.034,107.458
7,"        Intellectual property products",0.559,0.588,0.624,0.673,0.743,0.805,0.850,0.882,0.919,0.978,1.050,1.137,1.225,1.322,1.411,1.498,1.655,1.773,1.827,1.876,1.959,2.103,2.227,2.321,2.392,2.486,2.556,2.713,2.942,3.159,3.390,3.692,3.962,4.215,4.493,4.769,5.094,5.403,5.757,6.089,6.509,7.024,7.545,8.081,8.595,8.976,9.264,9.608,9.967,10.296,10.559,11.000,11.505,12.079,12.841,13.578,14.495,15.433,16.461,17.790,19.199,20.607,21.904,23.258,24.895,26.600,28.302,29.981,31.535,32.985,34.611,36.730,39.411,42.402,45.927,49.661,52.540,54.635,56.702,58.842,61.412,64.239,67.406,70.438,72.622,74.784,77.532,80.388,83.536,87.026,90.563,95.184,100.000,105.582,111.836,117.707,125.033,134.080,142.929,150.809
8,"      Residential",12.489,13.059,13.579,14.037,14.316,14.391,14.417,14.330,14.219,14.146,14.131,14.173,14.234,14.296,14.478,14.705,14.955,14.981,14.922,14.856,14.782,15.168,15.743,16.449,17.074,18.008,18.730,19.419,20.132,20.915,21.858,22.676,23.405,24.129,25.120,25.988,26.844,27.803,28.912,30.092,31.198,32.133,33.007,34.055,35.127,36.083,37.439,39.082,40.680,41.770,42.601,43.774,45.343,47.021,48.554,49.520,50.295,50.727,51.795,53.161,54.527,56.194,57.868,59.461,60.876,62.057,62.967,64.063,65.459,66.991,68.472,70.179,71.908,73.876,75.981,78.058,80.088,82.307,84.824,87.581,90.224,92.824,94.460,95.070,95.125,95.135,95.167,95.354,95.998,96.740,97.777,99.013,100.000,101.111,102.352,103.826,105.571,106.877,107.998,109.168
9,"    Government",5.167,5.371,5.616,5.880,6.320,6.675,7.047,7.344,7.551,7.799,8.079,8.543,8.931,9.368,9.861,10.329,11.773,15.620,19.953,23.480,24.827,23.002,21.412,20.295,19.969,19.709,20.519,21.647,22.859,23.900,24.791,25.711,26.713,27.830,29.098,30.305,31.713,33.186,34.658,36.163,37.652,39.334,41.081,42.672,44.042,45.145,45.975,46.779,47.582,48.390,49.181,49.992,50.725,51.579,52.530,53.508,54.402,55.213,56.125,57.235,58.635,60.185,61.797,63.208,64.559,66.023,67.339,68.567,69.582,70.452,71.425,72.562,73.591,74.750,76.048,77.398,78.872,80.613,82.406,84.180,85.682,87.374,89.077,90.771,92.413,93.937,95.182,96.078,96.804,97.446,98.202,99.054,100.000,101.001,102.162,103.466,104.501,105.392,106.469,107.645
10,"      Nonresidential",5.336,5.547,5.800,6.073,6.515,6.880,7.263,7.569,7.782,8.037,8.323,8.787,9.167,9.610,10.107,10.560,11.972,15.850,20.193,23.800,25.175,23.243,21.587,20.425,20.062,19.769,20.564,21.683,22.893,23.951,24.857,25.787,26.787,27.881,29.123,30.318,31.712,33.166,34.647,36.161,37.655,39.346,41.099,42.693,44.048,45.129,45.932,46.715,47.499,48.292,49.061,49.858,50.577,51.425,52.375,53.344,54.221,55.015,55.903,57.004,58.393,59.933,61.534,62.935,64.280,65.737,67.049,68.267,69.271,70.133,71.093,72.223,73.238,74.392,75.693,77.053,78.538,80.296,82.113,83.910,85.432,87.155,88.889,90.602,92.260,93.793,95.048,95.960,96.705,97.366,98.146,99.025,100.000,101.027,102.218,103.561,104.631,105.557,106.671,107.885
11,"        Equipment",2.379,2.355,2.381,2.402,2.429,2.421,2.439,2.415,2.388,2.418,2.535,2.613,2.713,2.853,3.016,3.146,5.994,18.993,44.488,69.301,78.296,63.833,50.281,39.222,33.524,27.885,29.958,33.795,37.915,39.983,40.806,41.356,41.985,42.683,44.456,45.763,47.702,49.855,50.982,51.811,51.890,52.555,53.736,53.750,53.252,52.582,50.361,48.579,47.193,46.599,46.216,46.178,46.116,45.988,46.316,46.879,47.652,48.753,50.512,52.577,55.368,58.858,62.503,65.122,67.875,70.778,72.852,74.511,75.158,75.083,75.042,75.067,74.626,74.522,74.917,75.195,75.515,76.676,77.812,79.377,81.365,83.871,86.800,90.337,93.403,96.007,97.664,98.860,99.129,99.025,98.984,99.182,100.000,101.331,103.542,106.116,107.929,108.951,110.472,111.165
12,"        Structures",7.448,7.769,8.143,8.548,9.198,9.738,10.297,10.750,11.067,11.439,11.832,12.505,13.047,13.673,14.373,15.012,16.318,18.950,19.997,20.332,20.496,20.275,20.264,20.454,20.865,21.386,22.050,22.850,23.699,24.670,25.638,26.605,27.609,28.742,29.878,31.009,32.254,33.496,34.857,36.278,37.794,39.399,41.010,42.649,44.106,45.353,46.547,47.635,48.694,49.692,50.643,51.558,52.360,53.323,54.311,55.279,56.076,56.715,57.322,58.088,59.003,60.032,61.107,62.182,63.231,64.436,65.688,66.928,68.111,69.248,70.527,71.997,73.361,74.806,76.349,77.944,79.624,81.458,83.306,85.039,86.371,87.914,89.447,90.930,92.415,93.804,94.983,95.835,96.592,97.333,98.172,99.078,100.000,100.916,101.936,102.983,103.709,104.291,105.139,106.154
13,"        Intellectual property products",0.078,0.087,0.096,0.103,0.139,0.186,0.239,0.306,0.359,0.390,0.422,0.455,0.484,0.519,0.557,0.603,0.816,1.106,1.605,2.279,2.835,3.215,3.465,3.778,4.097,4.431,4.745,5.121,5.562,6.095,6.753,7.801,9.061,10.264,11.451,12.755,14.234,15.923,18.158,20.578,23.114,26.013,28.879,31.610,34.058,35.799,37.174,38.581,39.792,40.608,41.329,42.235,43.254,44.464,45.845,47.250,48.740,50.165,51.803,53.749,56.280,58.725,61.370,63.478,65.148,66.622,67.499,68.107,68.372,68.519,68.525,68.628,68.847,69.330,69.914,70.718,71.943,73.690,75.877,78.303,80.848,83.342,85.763,87.939,89.932,91.822,93.413,94.633,95.683,96.252,97.161,98.368,100.000,101.880,103.953,107.314,111.463,116.284,120.227,124.292
14,"      Residential",0.000,0.000,0.000,0.000,0.023,0.042,0.061,0.080,0.097,0.117,0.192,0.650,1.279,1.522,1.857,2.816,5.238,8.052,12.013,12.988,13.434,14.890,15.266,15.521,16.390,17.160,18.359,19.716,20.939,21.491,21.920,22.484,23.534,25.409,27.544,29.102,30.983,33.067,34.153,35.319,36.565,37.898,39.397,40.851,42.710,44.600,46.435,48.002,49.485,50.898,52.597,53.925,55.167,56.207,57.194,58.458,59.953,61.347,63.023,64.440,66.197,68.078,70.044,71.784,73.305,74.996,76.425,77.992,79.348,80.469,81.849,83.210,84.656,85.975,87.178,88.223,89.389,90.634,91.782,92.934,93.896,94.722,95.530,96.619,97.692,98.913,99.761,100.076,100.127,100.093,100.042,99.995,100.000,100.133,100.319,100.409,100.308,100.078,99.951,99.904
15,"    Consumer durable goods",2.014,2.116,2.201,2.281,2.400,2.433,2.398,2.314,2.202,2.147,2.136,2.192,2.258,2.271,2.344,2.465,2.527,2.528,2.457,2.423,2.388,2.615,2.932,3.230,3.561,4.017,4.279,4.492,4.805,5.022,5.409,5.628,5.876,5.924,6.160,6.339,6.444,6.683,7.001,7.403,7.954,8.572,9.117,9.806,10.429,10.875,11.480,12.265,13.212,13.804,14.328,15.118,16.054,17.023,17.818,18.155,18.494,18.807,19.681,21.016,22.550,24.310,25.906,27.517,28.983,30.148,30.725,31.540,32.597,33.911,35.231,36.775,38.581,40.987,44.108,47.763,51.240,54.925,58.729,62.830,66.935,70.890,74.773,76.870,77.473,78.570,80.125,82.328,84.867,88.018,91.692,95.777,100.000,104.736,109.265,114.793,123.569,129.909,135.536,141.522
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"  Private and government fixed assets",9.998,10.403,10.781,11.139,11.467,11.685,11.782,11.755,11.680,11.663,11.699,11.860,12.042,12.180,12.384,12.632,13.079,13.736,14.277,14.733,14.986,15.028,15.126,15.367,15.683,16.147,16.766,17.425,18.142,18.816,19.559,20.299,21.020,21.663,22.454,23.229,24.030,24.925,25.887,26.950,28.116,29.355,30.525,31.724,32.922,33.955,34.998,36.188,37.487,38.572,39.389,40.347,41.518,42.912,44.380,45.585,46.763,47.660,48.698,50.130,51.680,53.210,54.691,56.130,57.525,58.841,59.860,60.892,62.101,63.399,64.852,66.540,68.348,70.393,72.603,74.906,76.882,78.628,80.472,82.452,84.413,86.578,88.500,89.956,90.602,91.314,92.172,93.176,94.361,95.718,97.160,98.611,100.000,101.606,103.303,104.754,106.312,107.783,109.414,111.068
17,"      Nonresidential",7.949,8.224,8.484,8.750,9.111,9.359,9.459,9.418,9.337,9.331,9.390,9.589,9.813,9.962,10.152,10.389,10.987,12.220,13.577,14.747,15.308,14.994,14.852,14.866,15.023,15.252,15.815,16.452,17.169,17.792,18.441,19.145,19.857,20.451,21.139,21.863,22.628,23.481,24.373,25.378,26.566,27.936,29.232,30.494,31.741,32.796,33.692,34.673,35.831,36.906,37.706,38.564,39.552,40.814,42.254,43.574,44.936,46.044,47.060,48.521,50.153,51.614,52.998,54.358,55.742,57.118,58.185,59.180,60.298,61.483,62.923,64.607,66.458,68.550,70.828,73.265,75.225,76.727,78.214,79.773,81.366,83.311,85.407,87.307,88.246,89.304,90.565,91.971,93.435,95.122,96.790,98.372,100.000,101.901,103.873,105.326,106.790,108.383,110.349,112.323
18,"        Equipment",3.479,3.599,3.667,3.744,3.860,3.872,3.758,3.553,3.372,3.271,3.256,3.336,3.475,3.478,3.523,3.658,4.156,5.486,7.940,10.354,11.439,10.443,9.781,9.326,9.147,9.033,9.602,10.263,10.999,11.430,11.868,12.284,12.708,12.890,13.261,13.645,14.027,14.555,15.049,15.663,16.448,17.494,18.423,19.280,20.174,20.869,21.321,22.007,23.102,24.183,24.790,25.506,26.541,27.903,29.428,30.554,31.661,32.299,33.031,34.352,35.715,36.958,38.026,39.134,40.312,41.265,41.837,42.503,43.561,44.956,46.685,48.635,50.817,53.439,56.455,59.625,61.719,63.166,64.701,66.718,69.274,72.495,75.678,77.993,77.861,79.244,81.477,84.356,87.429,90.916,94.313,97.075,100.000,103.311,106.392,107.633,109.257,110.826,112.861,115.098
19,"        Structures",13.439,13.898,14.378,14.859,15.494,15.992,16.315,16.443,16.457,16.537,16.656,16.971,17.278,17.566,17.902,18.235,18.913,20.102,20.491,20.582,20.665,20.805,21.004,21.346,21.767,22.273,22.884,23.544,24.270,25.056,25.874,26.768,27.662,28.539,29.433,30.377,31.374,32.404,33.479,34.668,36.047,37.510,38.933,40.364,41.769,43.056,44.280,45.473,46.725,47.879,48.860,49.816,50.758,51.952,53.324,54.767,56.265,57.615,58.684,60.083,61.717,63.120,64.514,65.861,67.176,68.634,69.818,70.822,71.841,72.791,73.977,75.369,76.818,78.382,79.962,81.716,83.387,84.732,85.994,87.147,88.093,89.355,90.868,92.447,93.549,94.294,94.997,95.716,96.446,97.373,98.297,99.156,100.000,101.041,102.187,103.097,103.736,104.439,105.630,106.868
