year,count
1946,17
1947,14
1948,20
1949,21
1950,18
1951,14
1952,14
1953,16
1954,15
1955,13
1956,17
1957,17
1958,18
1959,16
1960,15
1961,21
1962,20
1963,20
1964,25
1965,27
1966,28
1967,33
1968,26
1969,29
1970,26
1971,29
1972,26
1973,26
1974,28
1975,30
1976,32
1977,36
1978,38
1979,41
1980,41
1981,42
1982,44
1983,43
1984,42
1985,38
1986,44
1987,47
1988,39
1989,41
1990,49
1991,53
1992,51
1993,44
1994,50
1995,41
1996,41
1997,39
1998,40
1999,40
2000,40
2001,39
2002,33
2003,33
2004,33
2005,33
2006,33
2007,35
2008,38
2009,37
2010,31
2011,37
2012,33
2013,39
2014,46
2015,54
2016,54
2017,53
2018,52
2019,57
2020,57
2021,54
2022,56
2023,59
2024,61
