year,gdp_current_usd
1970,3009478988898
1971,3325831293865
1972,3842019736073
1973,4699146820051
1974,5431302723228
1975,6048005016166
1976,6574572862295
1977,7433986513280
1978,8804316947866
1979,10181253373888
1980,11479787747421
1981,11872917775514
1982,11747181261106
1983,11993276558849
1984,12459409786103
1985,13050699141666
1986,15397826688510
1987,17532755119890
1988,19597682774627
1989,20467635430294
1990,22991895905266
1991,23998499386379
1992,25631432757013
1993,26071136171460
1994,28066274308784
1995,31338014339198
1996,32064860700885
1997,31954804098164
1998,31780795899557
1999,32829035976968
2000,33965806441911
2001,33747838963540
2002,35048255697763
2003,39288473726074
2004,44264898214305
2005,47938461749088
2006,51965655998564
2007,58574302755950
2008,64378551514749
2009,61049315651690
2010,66893676131662
2011,74388644404622
2012,76055253368044
2013,78171001460419
2014,80243543597078
2015,75839351828606
2016,77084966373474
2017,82110104984460
2018,87310840056717
2019,88796498078977
2020,86388502867289
2021,98780038374127
2022,102862471365575
2023,107348614073350
2024,111669432109121
2025,118350166039396
